"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:44:40,1856859","sodinokibi.exe","8376","RegOpenKey","HKCR\SystemFileAssociations\.exe\Clsid","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1857091","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: Name"
"14:44:40,1857199","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1857366","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\exefile","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1857483","sodinokibi.exe","8376","RegQueryValue","HKCR\exefile\IsShortcut","NAME NOT FOUND","Length: 12"
"14:44:40,1857590","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"14:44:40,1857692","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1858431","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1858694","sodinokibi.exe","8376","RegQueryValue","HKCR\SystemFileAssociations\.exe\IsShortcut","NAME NOT FOUND","Length: 12"
"14:44:40,1858849","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: Name"
"14:44:40,1858958","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1859126","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\exefile","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1859244","sodinokibi.exe","8376","RegQueryValue","HKCR\exefile\AlwaysShowExt","NAME NOT FOUND","Length: 12"
"14:44:40,1859346","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"14:44:40,1859449","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1861552","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1861701","sodinokibi.exe","8376","RegQueryValue","HKCR\SystemFileAssociations\.exe\AlwaysShowExt","NAME NOT FOUND","Length: 12"
"14:44:40,1862586","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: Name"
"14:44:40,1862733","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
